filename,width,height,class,xmin,ymin,xmax,ymax
images (12).jpg,246,205,empty,181,164,231,202
images (12).jpg,246,205,empty,167,155,214,186
images (12).jpg,246,205,empty,144,144,191,171
images (12).jpg,246,205,empty,132,134,174,160
images (12).jpg,246,205,empty,118,122,156,146
images (12).jpg,246,205,empty,101,117,141,137
images (12).jpg,246,205,empty,90,110,132,131
images (12).jpg,246,205,empty,81,106,114,119
images (12).jpg,246,205,empty,64,100,103,114
images (12).jpg,246,205,empty,58,93,98,105
images (12).jpg,246,205,empty,225,89,246,103
images (12).jpg,246,205,empty,213,84,241,96
images (12).jpg,246,205,empty,206,77,232,89
images (12).jpg,246,205,empty,186,71,212,88
images (12).jpg,246,205,empty,177,69,200,80
images (14).jpg,299,168,empty,196,17,208,31
images (14).jpg,299,168,empty,100,50,107,66
images (14).jpg,299,168,empty,250,78,264,88
images (15).jpg,354,142,empty,319,84,338,102
images (15).jpg,354,142,empty,283,86,302,100
images (15).jpg,354,142,empty,262,84,283,101
images (15).jpg,354,142,empty,243,84,264,105
images (15).jpg,354,142,empty,224,83,247,101
images (15).jpg,354,142,empty,184,69,205,86
images (15).jpg,354,142,empty,170,85,193,102
images (15).jpg,354,142,empty,134,85,154,104
images (15).jpg,354,142,empty,114,86,133,104
images (15).jpg,354,142,empty,95,86,114,104
images (15).jpg,354,142,empty,58,72,76,88
images (15).jpg,354,142,empty,57,87,76,106
images (15).jpg,354,142,empty,39,43,58,58
images (15).jpg,354,142,empty,20,43,41,59
images (15).jpg,354,142,empty,38,87,62,102
images (15).jpg,354,142,empty,17,86,39,104
images (15).jpg,354,142,empty,1,86,21,106
images (15).jpg,354,142,empty,1,70,20,87
images (15).jpg,354,142,empty,1,119,21,138
images (15).jpg,354,142,empty,16,119,41,137
images (15).jpg,354,142,empty,35,121,62,138
images (15).jpg,354,142,empty,98,119,121,138
images (15).jpg,354,142,empty,316,119,336,133
images (15).jpg,354,142,empty,331,115,354,132
images (16).jpg,284,177,empty,4,86,137,173
images (16).jpg,284,177,empty,151,115,284,175
images (16).jpg,284,177,empty,214,84,284,135
images (16).jpg,284,177,empty,176,79,240,103
images (16).jpg,284,177,empty,240,72,284,97
images (16).jpg,284,177,empty,174,67,249,81
images (16).jpg,284,177,empty,191,65,259,72
images (17).jpg,275,183,empty,220,110,265,119
images (18).jpg,275,183,empty,1,103,239,178
images (18).jpg,275,183,empty,1,82,242,127
images (18).jpg,275,183,empty,30,68,248,103
images (18).jpg,275,183,empty,85,60,249,72
images (18).jpg,275,183,empty,214,25,249,35
images (18).jpg,275,183,empty,113,49,248,63
images (18).jpg,275,183,empty,72,23,107,35
images (18).jpg,275,183,empty,42,23,84,37
images (18).jpg,275,183,empty,10,26,49,38
images (20).jpg,293,172,empty,111,109,270,160
images (20).jpg,293,172,empty,81,98,200,136
images (20).jpg,293,172,empty,30,93,139,119
images (20).jpg,293,172,empty,232,100,293,123
images (20).jpg,293,172,empty,178,96,269,115
images (21).jpg,275,183,empty,14,93,46,123
images (21).jpg,275,183,empty,222,8,254,37
images (21).jpg,275,183,empty,212,2,252,25
images (22).jpg,300,168,empty,204,115,225,141
images (22).jpg,300,168,empty,160,125,181,148
images (22).jpg,300,168,empty,102,99,112,115
images (22).jpg,300,168,empty,91,102,101,119
images (22).jpg,300,168,empty,81,105,96,119
images (22).jpg,300,168,empty,77,107,84,124
images (22).jpg,300,168,empty,63,108,82,124
images (22).jpg,300,168,empty,259,63,275,78
images (22).jpg,300,168,empty,228,29,240,43
images (22).jpg,300,168,empty,28,115,40,126
images (22).jpg,300,168,empty,25,136,39,150
images (22).jpg,300,168,empty,21,150,35,164
images (22).jpg,300,168,empty,180,62,192,79
images (22).jpg,300,168,empty,169,63,182,82
images (22).jpg,300,168,empty,159,65,173,84
images (22).jpg,300,168,empty,131,77,141,91
images (22).jpg,300,168,empty,159,44,170,55
images (22).jpg,300,168,empty,150,49,161,60
images (22).jpg,300,168,empty,70,70,75,84
images (22).jpg,300,168,empty,73,68,82,86
images (22).jpg,300,168,empty,79,65,93,80
images (22).jpg,300,168,empty,94,61,103,80
images (22).jpg,300,168,empty,121,31,135,38
images (22).jpg,300,168,empty,90,42,99,50
images (24).jpg,281,180,empty,197,146,209,173
images (24).jpg,281,180,empty,127,147,139,172
images (24).jpg,281,180,empty,115,144,129,173
images (24).jpg,281,180,empty,103,144,118,172
images (24).jpg,281,180,empty,80,144,96,170
images (24).jpg,281,180,empty,22,146,36,168
images (24).jpg,281,180,empty,8,144,24,168
images (24).jpg,281,180,empty,1,146,17,169
images (24).jpg,281,180,empty,71,70,83,95
images (24).jpg,281,180,empty,34,70,53,95
images (24).jpg,281,180,empty,3,70,20,96
images (24).jpg,281,180,empty,10,7,24,27
images (25).jpg,272,185,empty,20,137,53,149
images (25).jpg,272,185,empty,87,126,117,140
images (25).jpg,272,185,empty,102,126,130,133
images (25).jpg,272,185,empty,59,112,78,121
images (25).jpg,272,185,empty,57,109,74,119
images (25).jpg,272,185,empty,190,95,200,102
images (25).jpg,272,185,empty,181,95,193,100
images (25).jpg,272,185,empty,168,93,177,100
images (25).jpg,272,185,empty,1,118,29,128
images (25).jpg,272,185,empty,148,91,163,97
images (26).jpg,314,161,empty,244,95,268,125
images (26).jpg,314,161,empty,257,90,284,125
images (26).jpg,314,161,empty,273,83,300,116
images (27).jpg,259,194,empty,67,170,102,191
images (27).jpg,259,194,empty,81,160,113,184
images (27).jpg,259,194,empty,99,151,125,173
images (27).jpg,259,194,empty,109,147,135,161
images (27).jpg,259,194,empty,60,126,79,138
images (27).jpg,259,194,empty,58,118,76,132
images (27).jpg,259,194,empty,46,102,65,112
images (27).jpg,259,194,empty,151,128,171,138
images (27).jpg,259,194,empty,167,93,181,98
images (27).jpg,259,194,empty,146,81,156,84
images (27).jpg,259,194,empty,102,91,114,102
images (27).jpg,259,194,empty,193,102,211,114
images (31).jpg,294,172,empty,133,77,211,120
images (31).jpg,294,172,empty,183,91,256,134
images (32).jpg,275,183,empty,19,105,241,181
images (32).jpg,275,183,empty,3,85,136,146
images (32).jpg,275,183,empty,206,73,246,89
images (32).jpg,275,183,empty,152,75,209,89
images (32).jpg,275,183,empty,124,70,167,89
images (32).jpg,275,183,empty,102,73,149,82
images (33).jpg,352,143,empty,1,66,66,78
images (33).jpg,352,143,empty,36,57,99,71
images (33).jpg,352,143,empty,76,53,142,67
images (33).jpg,352,143,empty,110,48,169,61
images (33).jpg,352,143,empty,141,46,194,56
images (33).jpg,352,143,empty,166,42,222,53
